ID,name,year,gold,silver,bronze
1950,Uzbekistan,2012,1,0,2
1951,Uzbekistan,2016,4,2,7
1952,Venezuela,1952,0,0,1
1953,Venezuela,1960,0,0,1
1954,Venezuela,1968,1,0,0
1955,Venezuela,1976,0,1,0
1956,Venezuela,1980,0,1,0
1957,Venezuela,1984,0,0,3
1958,Venezuela,2004,0,0,2
1959,Venezuela,2008,0,0,1
1960,Venezuela,2012,1,0,0
1961,Venezuela,2016,0,1,2
1962,Venilia,1960,0,0,3
1963,Vesper Boat Club,1900,9,0,0
1964,Vesper Boat Club,1904,9,0,0
1965,Vietnam,2000,0,1,0
1966,Vietnam,2008,0,1,0
1967,Vietnam,2016,1,1,0
1968,Vinga-1,1908,0,5,0
1969,Vision,1956,0,4,0
1970,Wales-4,1908,0,0,11
1971,Wannsee,1936,2,0,0
1972,Web II,1960,0,3,0
1973,West Germany,1968,19,17,19
1974,West Germany,1972,46,17,39
1975,West Germany,1976,23,28,51
1976,West Germany,1980,0,2,6
1977,West Germany,1984,31,76,57
1978,West Germany,1988,36,44,47
1979,West Germany-1,1968,0,2,4
1980,West Germany-1,1972,0,4,4
1981,West Germany-1,1976,0,4,4
1982,West Germany-1,1984,2,0,0
1983,West Germany-1,1988,0,0,2
1984,West Germany-2,1972,2,0,0
1985,West Indies Federation,1960,0,0,5
1986,Western Golf Association-1,1904,10,0,0
1987,Western Rowing Club-3,1904,0,0,6
1988,White Lady,1964,3,0,0
1989,Widgeon,1964,0,0,2
1990,Willem-Six,1924,0,0,3
1991,Winnipeg Shamrocks-1,1904,12,0,0
1992,Yugoslavia,1924,2,0,0
1993,Yugoslavia,1928,1,1,10
1994,Yugoslavia,1936,0,1,0
1995,Yugoslavia,1948,0,16,0
1996,Yugoslavia,1952,4,20,0
1997,Yugoslavia,1956,0,23,0
1998,Yugoslavia,1960,16,1,0
1999,Yugoslavia,1964,2,11,2
2000,Yugoslavia,1968,13,14,2
2001,Yugoslavia,1972,15,1,2
2002,Yugoslavia,1976,2,14,3
2003,Yugoslavia,1980,13,27,17
2004,Yugoslavia,1984,47,6,35
2005,Yugoslavia,1988,15,32,22
2006,Zambia,1984,0,0,1
2007,Zambia,1996,0,1,0
2008,Zimbabwe,1980,15,0,0
2009,Zimbabwe,2004,1,1,1
2010,Zimbabwe,2008,1,3,0
2011,Zut,1908,0,3,0
