ID,name,year,gold,silver,bronze
1051,Kazakhstan,2000,3,4,0
1052,Kazakhstan,2004,1,4,3
1053,Kazakhstan,2008,2,4,7
1054,Kazakhstan,2010,0,1,0
1055,Kazakhstan,2012,7,1,5
1056,Kazakhstan,2014,0,0,1
1057,Kazakhstan,2016,3,5,10
1058,Kenya,1964,0,0,1
1059,Kenya,1968,3,7,2
1060,Kenya,1972,5,3,4
1061,Kenya,1984,1,0,2
1062,Kenya,1988,5,2,2
1063,Kenya,1992,2,4,2
1064,Kenya,1996,1,4,3
1065,Kenya,2000,2,3,2
1066,Kenya,2004,1,4,2
1067,Kenya,2008,6,4,5
1068,Kenya,2012,2,4,5
1069,Kenya,2016,6,6,1
1070,Kerstin-1,1912,0,0,3
1071,Kitty-1,1912,8,0,0
1072,Kosovo,2016,1,0,0
1073,Kristiania Roklub-1,1912,0,0,5
1074,Kullan,1920,3,0,0
1075,Kurush II,1948,0,2,0
1076,Kuwait,2000,0,0,1
1077,Kuwait,2012,0,0,1
1078,Kyrgyzstan,2000,0,0,1
1079,Kyrgyzstan,2008,0,1,1
1080,L'Aile VI,1928,6,0,0
1081,Lady C,1964,0,2,0
1082,Lalage,1936,5,0,0
1083,"Large boat, Central Naval Prep School ""Poros""-1",1906,17,0,0
1084,Latvia,1932,0,1,0
1085,Latvia,1936,0,1,1
1086,Latvia,1992,0,2,1
1087,Latvia,1996,0,1,0
1088,Latvia,2000,1,1,1
1089,Latvia,2004,0,4,0
1090,Latvia,2006,0,0,1
1091,Latvia,2008,1,1,1
1092,Latvia,2010,0,1,0
1093,Latvia,2012,1,0,0
1094,Latvia,2014,0,1,4
1095,Latvia-1,2010,0,2,0
1096,Latvia-1,2012,0,0,2
1097,Latvia-1,2014,0,4,2
1098,Laurea-1,1900,0,0,1
1099,Leander Club #1-1,1908,2,0,0
1100,Leander Club #2-2,1908,0,2,0
1101,Leander Club-1,1908,9,0,0
1102,Leander Club-1,1912,9,0,0
1103,Leander Club-2,1908,0,4,0
1104,Lebanon,1952,0,1,1
1105,Lebanon,1972,0,1,0
1106,Lebanon,1980,0,0,1
1107,Lerina,1900,3,3,0
1108,Libellule de Paris,1900,0,0,7
1109,Liechtenstein,1976,0,0,2
1110,Liechtenstein,1980,2,2,0
1111,Liechtenstein,1984,0,0,2
1112,Liechtenstein,1988,0,0,1
1113,"Life boat naval ship ""Spetsai""-1",1906,0,7,0
1114,Lithuania,1992,1,0,12
1115,Lithuania,1996,0,0,11
1116,Lithuania,2000,2,0,15
1117,Lithuania,2004,1,2,0
1118,Lithuania,2008,0,2,3
1119,Lithuania,2012,2,1,2
1120,Lithuania,2016,0,2,5
1121,Liverpool Police Team-2,1908,0,8,0
1122,Llanoria,1948,5,0,0
1123,Llanoria,1952,6,0,0
1124,London City Police-1,1908,8,0,0
1125,Lucky Girl-1,1912,0,0,5
1126,Ludwigshafener Ruder Verein-1,1900,0,0,5
1127,Ludwigshafener Ruderverein,1912,5,0,0
1128,Lully II,1936,0,5,0
1129,Luxembourg,1900,1,0,0
1130,Luxembourg,1920,0,1,0
1131,Luxembourg,1924,1,1,0
1132,Luxembourg,1928,1,0,0
1133,Luxembourg,1952,1,0,0
1134,Luxembourg,1992,0,2,0
1135,Lyn-2,1920,0,5,0
1136,Ma'Lindo,1960,0,2,0
1137,Mac Miche,1912,3,0,0
1138,Macedonia,2000,0,0,1
1139,Macky VI,1960,0,0,3
1140,Magda IX,1912,10,0,0
1141,Magdalen College Boat Club-1,1908,4,0,0
1142,Malaysia,1996,0,0,1
1143,Malaysia,2008,0,1,0
1144,Malaysia,2012,0,1,1
1145,Malaysia,2016,0,7,1
1146,Malaysia-1,1996,0,2,0
1147,Malaysia-2,1992,0,0,2
1148,Margaret,1948,0,0,2
1149,"Marinai della nave da guerra ""Varese""",1906,7,0,17
1150,Marmi II-1,1920,0,3,0
1151,Martha-1,1900,0,4,4
1152,Mascotte,1900,0,3,0
1153,Mauritius,2008,0,0,1
1154,May Be,1936,0,0,5
1155,Merope,1952,2,0,0
1156,Merope III,1956,0,2,0
1157,Mexico,1932,0,2,0
1158,Mexico,1936,0,0,16
1159,Mexico,1948,4,1,4
1160,Mexico,1952,0,1,0
1161,Mexico,1956,1,0,1
1162,Mexico,1960,0,0,1
1163,Mexico,1964,0,0,1
1164,Mexico,1968,3,3,3
1165,Mexico,1972,0,1,0
1166,Mexico,1976,1,0,1
1167,Mexico,1980,0,1,9
1168,Mexico,1984,2,3,1
1169,Mexico,1988,0,0,2
1170,Mexico,1992,0,1,0
1171,Mexico,1996,0,0,1
1172,Mexico,2000,1,2,3
1173,Mexico,2004,0,3,1
1174,Mexico,2008,2,0,2
1175,Mexico,2012,16,5,3
1176,Mexico,2016,0,3,2
1177,Mignon-3,1900,0,0,1
1178,Milwaukee Athletic Club-1,1904,5,0,0
1179,Minerva Amsterdam,1900,3,5,9
1180,Minotaur,1960,3,0,0
1181,Missouri Athletic Club-3,1904,0,0,11
1182,Mohawk Indians-2,1904,0,0,12
1183,Moldova,1996,0,2,1
1184,Moldova,2000,0,1,1
1185,Moldova,2008,0,0,1
1186,Moldova,2012,0,0,2
1187,Monaco,1924,0,0,1
1188,Mongolia,1968,0,1,3
1189,Mongolia,1972,0,1,0
1190,Mongolia,1976,0,1,0
1191,Mongolia,1980,0,2,2
1192,Mongolia,1988,0,0,1
1193,Mongolia,1992,0,0,2
1194,Mongolia,1996,0,0,1
1195,Mongolia,2004,0,0,1
1196,Mongolia,2008,2,2,0
1197,Mongolia,2012,0,2,3
1198,Mongolia,2016,0,1,1
1199,Montenegro,2012,0,14,0
1200,Morocco,1960,0,1,0
1201,Morocco,1984,2,0,0
1202,Morocco,1988,1,0,2
1203,Morocco,1992,1,1,1
1204,Morocco,1996,0,0,2
1205,Morocco,2000,0,1,4
1206,Morocco,2004,2,1,0
1207,Morocco,2008,0,1,1
1208,Morocco,2012,0,0,1
1209,Morocco,2016,0,0,1
1210,Moseley Wanderers,1900,0,15,0
1211,Mosk II,1920,7,0,0
1212,Mouchette-2,1908,0,10,0
1213,Mound City Rowing Club-2,1904,0,4,0
1214,Mozambique,1996,0,0,1
1215,Mozambique,2000,1,0,0
1216,Mutafo,1964,0,3,0
1217,Nadine,2008,0,1,0
1218,Namibia,1992,0,2,0
1219,Namibia,1996,0,2,0
1220,Namoussa,1924,0,0,5
1221,Nepal,1924,1,0,0
1222,Netherlands,1900,0,0,6
1223,Netherlands,1906,0,1,5
1224,Netherlands,1908,0,0,12
1225,Netherlands,1912,0,0,26
1226,Netherlands,1920,9,8,25
1227,Netherlands,1924,8,1,15
1228,Netherlands,1928,20,23,8
1229,Netherlands,1932,2,10,1
1230,Netherlands,1936,8,7,19
1231,Netherlands,1948,8,2,30
1232,Netherlands,1952,0,21,0
1233,Netherlands,1960,0,2,3
1234,Netherlands,1964,6,11,16
1235,Netherlands,1968,9,10,4
1236,Netherlands,1972,7,4,4
1237,Netherlands,1976,1,4,15
1238,Netherlands,1980,1,3,6
1239,Netherlands,1984,20,7,14
1240,Netherlands,1988,6,8,38
1241,Netherlands,1992,6,21,10
1242,Netherlands,1994,0,1,3
1243,Netherlands,1996,38,9,26
1244,Netherlands,1998,5,4,2
1245,Netherlands,2000,27,29,23
1246,Netherlands,2002,3,5,0
1247,Netherlands,2004,4,51,22
1248,Netherlands,2006,3,2,8
1249,Netherlands,2008,39,15,4
1250,Netherlands,2010,4,1,6
1251,Netherlands,2012,21,29,19
1252,Netherlands,2014,13,7,9
1253,Netherlands,2016,9,25,11
1254,Netherlands Antilles,1988,0,1,0
1255,Netherlands-1,2016,0,0,2
1256,"New College, Oxford-2",1912,0,9,0
1257,New York Athletic Club,1904,5,0,0
1258,New York Athletic Club #1-1,1904,4,0,0
1259,New York Athletic Club-1,1904,7,0,0
1260,"New York Turnverein, New York",1904,0,6,0
1261,New Zealand,1920,0,0,1
1262,New Zealand,1924,0,0,1
1263,New Zealand,1928,1,0,0
1264,New Zealand,1932,0,2,0
1265,New Zealand,1936,1,0,0
1266,New Zealand,1952,1,0,2
1267,New Zealand,1956,1,0,0
1268,New Zealand,1960,2,0,1
1269,New Zealand,1964,2,0,2
1270,New Zealand,1968,5,0,2
1271,New Zealand,1972,9,4,1
1272,New Zealand,1976,15,1,9
1273,New Zealand,1984,16,1,6
1274,New Zealand,1988,4,4,16
1275,New Zealand,1992,1,10,5
1276,New Zealand,1996,3,2,4
1277,New Zealand,2000,1,0,3
1278,New Zealand,2004,4,2,0
1279,New Zealand,2008,4,2,9
1280,New Zealand,2012,9,3,15
1281,New Zealand,2016,6,25,5
1282,Niger,1972,0,0,1
1283,Niger,2016,0,1,0
1284,Nigeria,1964,0,0,1
1285,Nigeria,1972,0,0,1
1286,Nigeria,1984,0,1,4
1287,Nigeria,1992,0,7,4
1288,Nigeria,1996,17,4,3
1289,Nigeria,2000,6,2,0
1290,Nigeria,2004,0,0,8
1291,Nigeria,2008,0,16,7
1292,Nigeria,2016,0,0,18
1293,Nina,1912,0,7,0
1294,Nina Claire-2,1900,0,0,4
1295,Nirefs,1960,3,0,0
1296,Norna,1928,4,0,0
1297,North Korea,1964,0,1,0
1298,North Korea,1972,1,1,13
1299,North Korea,1976,1,1,0
1300,North Korea,1980,0,3,2
1301,North Korea,1992,4,0,5
1302,North Korea,1996,2,1,2
1303,North Korea,2000,0,1,3
1304,North Korea,2004,0,4,1
1305,North Korea,2008,2,1,3
1306,North Korea,2012,4,0,2
1307,North Korea,2016,2,3,2
1308,North Korea-1,1992,0,0,2
1309,Norway,1900,0,6,3
1310,Norway,1904,2,0,0
1311,Norway,1906,20,5,0
1312,Norway,1908,7,32,3
1313,Norway,1912,25,6,24
1314,Norway,1920,14,40,24
1315,Norway,1924,10,12,9
1316,Norway,1928,6,8,6
1317,Norway,1932,3,4,3
1318,Norway,1936,8,9,18
1319,Norway,1948,4,7,17
1320,Norway,1952,9,6,6
1321,Norway,1956,3,1,3
1322,Norway,1960,3,6,0
1323,Norway,1964,3,6,6
1324,Norway,1968,15,11,2
1325,Norway,1972,4,10,11
1326,Norway,1976,5,10,1
1327,Norway,1980,1,5,9
1328,Norway,1984,6,6,7
1329,Norway,1988,2,26,5
1330,Norway,1992,11,30,6
1331,Norway,1994,8,17,5
1332,Norway,1996,2,3,18
1333,Norway,1998,13,15,12
1334,Norway,2000,20,4,19
1335,Norway,2002,23,11,7
1336,Norway,2004,5,0,2
1337,Norway,2006,2,9,12
1338,Norway,2008,16,5,1
1339,Norway,2010,16,14,9
1340,Norway,2012,15,1,1
1341,Norway,2014,18,5,13
1342,Norway,2016,0,0,19
1343,Nrnberg,1936,1,0,0
1344,Nurdug II,1912,0,3,0
1345,Nykjbings paa Falster,1912,5,0,0
1346,Olle,1900,6,0,0
1347,Omas Helliniki P. S.,1906,0,8,0
1348,Oranje,1920,3,0,0
1349,Ormsund Roklub-2,1912,0,0,5
1350,"Osborne Swimming Club, Manchester",1900,7,0,0
1351,Pakistan,1956,0,14,0
1352,Pakistan,1960,13,0,1
1353,Pakistan,1964,0,16,0
1354,Pakistan,1968,13,0,0
1355,Pakistan,1972,0,15,0
1356,Pakistan,1976,0,0,16
1357,Pakistan,1984,16,0,0
1358,Pakistan,1988,0,0,1
1359,Pakistan,1992,0,0,16
1360,Pan,1948,3,0,0
1361,Pan,1952,3,0,0
1362,Panama,1948,0,0,2
1363,Panama,2008,1,0,0
1364,Pandora,1964,2,0,0
1365,Paraguay,2004,0,17,0
1366,Peru,1948,1,0,0
1367,Peru,1984,0,1,0
1368,Peru,1988,0,12,0
1369,Peru,1992,0,1,0
1370,"Phalainis ton Thorichtou ""Hydra""-2",1906,0,17,7
1371,"Philadelphia Turngemeinde, Philadelphia",1904,6,0,0
1372,Philippines,1928,0,0,1
1373,Philippines,1932,0,0,3
1374,Philippines,1936,0,0,1
1375,Philippines,1964,0,1,0
1376,Philippines,1988,0,0,1
1377,Philippines,1992,0,0,1
1378,Philippines,1996,0,1,0
1379,Philippines,2016,0,1,0
1380,Pistoja/Firenze,1906,0,0,9
1381,Poland,1924,0,4,1
1382,Poland,1928,2,3,15
1383,Poland,1932,3,4,14
1384,Poland,1936,0,6,6
1385,Poland,1948,1,0,1
1386,Poland,1952,1,2,1
1387,Poland,1956,1,9,10
1388,Poland,1960,4,12,16
1389,Poland,1964,10,13,23
1390,Poland,1968,5,2,30
1391,Poland,1972,28,8,11
1392,Poland,1976,18,29,26
1393,Poland,1980,3,25,22
1394,Poland,1988,2,9,10
1395,Poland,1992,5,22,19
1396,Poland,1996,7,8,7
1397,Poland,2000,7,8,7
1398,Poland,2002,0,1,1
1399,Poland,2004,4,2,6
1400,Poland,2006,0,1,1
1401,Poland,2008,6,13,1
1402,Poland,2010,1,3,4
1403,Poland,2012,2,2,8
1404,Poland,2014,4,4,3
1405,Poland,2016,3,3,10
1406,Poland-1,2000,0,2,0
1407,Polyteknisk Roklub-1,1912,0,0,5
1408,Portugal,1924,0,0,4
1409,Portugal,1928,0,0,6
1410,Portugal,1936,0,0,3
1411,Portugal,1948,0,0,3
1412,Portugal,1976,0,2,0
1413,Portugal,1984,1,0,2
1414,Portugal,1988,1,0,0
1415,Portugal,1996,1,0,2
1416,Portugal,2000,0,0,2
1417,Portugal,2004,0,2,1
1418,Portugal,2008,1,1,0
1419,Portugal,2012,0,2,0
1420,Portugal,2016,0,0,1
1421,Potomac Archers,1904,4,0,0
1422,Potsdam,1936,0,0,1
1423,Puerto Rico,1948,0,0,1
1424,Puerto Rico,1976,0,0,1
1425,Puerto Rico,1984,0,1,1
1426,Puerto Rico,1992,0,0,1
1427,Puerto Rico,1996,0,0,1
1428,Puerto Rico,2012,0,1,1
1429,Puerto Rico,2016,1,0,0
1430,Pupilles de Neptune de Lille #2-1,1900,0,0,8
1431,Pupilles de Neptune de Lille-1,1900,0,0,4
1432,Qatar,1992,0,0,1
1433,Qatar,2000,0,0,1
1434,Qatar,2012,0,0,2
1435,Qatar,2016,0,1,0
1436,Quand-Mme-2,1900,0,9,0
1437,Racing Club de France,1900,0,11,0
1438,Ralia,1952,0,0,5
1439,Ravenswood Boat Club-2,1904,0,2,0
1440,Roddklubben af 1912-1,1912,0,5,0
1441,Roehampton-1,1908,4,0,0
1442,Romania,1924,0,0,16
1443,Romania,1936,0,1,0
1444,Romania,1952,1,1,2
1445,Romania,1956,6,3,10
1446,Romania,1960,3,1,11
1447,Romania,1964,2,4,10
1448,Romania,1968,5,9,9
1449,Romania,1972,3,10,27
1450,Romania,1976,4,28,23
1451,Romania,1980,7,15,46
1452,Romania,1984,40,31,35
1453,Romania,1988,8,34,16
1454,Romania,1992,8,31,14
1455,Romania,1996,13,10,15
1456,Romania,2000,27,6,13
1457,Romania,2004,23,5,11
1458,Romania,2008,5,1,16
1459,Romania,2012,2,8,6
1460,Romania,2016,4,2,10
1461,Romania-1,1968,0,0,2
1462,Rose Pompon,1920,0,3,0
